level,score,name,time,A0,A1,A2,A3,A4,A5,AlmostDeath,CoinPerSec,KillPerSec,ShotPerSec,MissPerSec
1,10,Bally,5,399.5,195.5,1,0,0,0,FALSE,20,0,0,0
1,24,Bally,10,736,423,2,4,4,0,FALSE,20,40,40,0
2,67,Bally,15,101.5,171,6,7,7,0,FALSE,40,46.6667,46.6667,0
2,94,Bally,20,147,290,8,11,11,0,FALSE,40,55,55,0
2,109,Bally,25,213.5,157,9,15,15,0,FALSE,36,60,60,0
3,132,Bally,30,535.5,356.5,11,17,17,0,FALSE,36.6667,56.6667,56.6667,0
3,153,Bally,35,416.5,304,12,22,23,0,FALSE,34.2857,62.8571,65.7143,0
3,191,Bally,40,276.5,241,15,27,28,1,FALSE,37.5,67.5,70,2.5
4,201,Bally,45,423.5,244.5,15,31,33,1,TRUE,33.3333,68.8889,73.3333,2.2222
1,1,Bally,5,371.5,237.5,0,1,2,0,FALSE,0,20,40,0
1,15,Bally,10,441.5,360,1,5,6,1,FALSE,10,50,60,10
2,48,Bally,15,455.5,59,4,8,9,1,FALSE,26.6667,53.3333,60,6.6667
2,58,Bally,20,116,314.5,4,14,15,1,FALSE,20,70,75,5
2,95,Bally,25,287.5,171,7,19,21,2,FALSE,28,76,84,8
3,125,Bally,30,347,216.5,9,25,27,2,FALSE,30,83.3333,90,6.6667
3,170,Bally,35,277,157,12,33,35,2,FALSE,34.2857,94.2857,100,5.7143
3,187,Bally,40,343.5,349.5,13,37,40,2,TRUE,32.5,92.5,100,5
1,3,Bally,5,326,174.5,0,3,3,0,FALSE,0,60,60,0
1,37,Bally,10,427.5,269,3,7,7,0,TRUE,30,70,70,0
1,12,Bally,5,637.5,115,1,2,2,0,FALSE,20,40,40,0
1,36,Bally,10,336.5,244.5,3,6,6,0,FALSE,30,60,60,0
2,69,Bally,15,280.5,160.5,6,9,9,0,FALSE,40,60,60,0
2,93,Bally,20,494,160.5,8,12,12,0,FALSE,40,60,60,0
2,117,Bally,25,235,244.5,10,15,15,0,FALSE,40,60,60,0
3,151,Bally,30,630.5,311,13,18,18,0,FALSE,43.3333,60,60,0
3,169,Bally,35,235,426.5,14,22,22,0,FALSE,40,62.8571,62.8571,0
3,203,Bally,40,130,202.5,17,24,24,0,FALSE,42.5,60,60,0
4,230,Bally,45,259.5,321.5,19,27,27,0,FALSE,42.2222,60,60,0
4,265,Bally,50,326,304,20,36,36,0,FALSE,40,72,72,0
4,281,Bally,55,375,395,21,39,39,0,FALSE,38.1818,70.9091,70.9091,0
5,326,Bally,60,322.5,507,23,46,47,0,FALSE,38.3333,76.6667,78.3333,0
5,358,Bally,65,63.5,409,24,53,53,0,FALSE,36.9231,81.5385,81.5385,0
5,378,Bally,70,518.5,438,26,53,53,0,TRUE,37.1429,75.7143,75.7143,0
1,12,Bally,5,462.5,223.5,1,2,2,0,FALSE,20,40,40,0
1,45,Bally,10,494,167.5,4,5,5,0,FALSE,40,50,50,0
2,77,Bally,15,375,94,7,7,7,0,FALSE,46.6667,46.6667,46.6667,0
2,94,Bally,20,525.5,328.5,8,11,12,1,FALSE,40,55,60,5
2,127,Bally,25,662,412.5,11,14,15,1,FALSE,44,56,60,4
3,157,Bally,30,400,536,13,20,22,1,FALSE,43.3333,66.6667,73.3333,3.3333
3,180,Bally,35,526,287.5,14,26,28,2,TRUE,40,74.2857,80,5.7143
1,2,Bally,5,382,223.5,0,2,2,0,FALSE,0,40,40,0
1,25,Bally,10,116,476.5,2,5,5,0,FALSE,20,50,50,0
